Livro,Parte,Capítulo,Item,Subitem,Index,Tipo,Texto
0,0,2,2,5,lde.0.3.02,nota,"Pensam outros que a alma é o princípio da inteligência, agente universal do qual cada ser absorve uma certa porção. Segundo esses, não haveria em todo o Universo senão uma só alma a distribuir centelhas pelos diversos seres inteligentes durante a vida destes, voltando cada centelha, mortos os seres, à fonte comum, a se confundir com o todo, como os regatos e os rios voltam ao mar, donde saíram. Essa opinião difere da precedente em que, nesta hipótese, não há em nós somente matéria, subsistindo alguma coisa após a morte. Mas é quase como se nada subsistisse, porquanto, destituídos de individualidade, não mais teríamos consciência de nós mesmos. Dentro desta opinião, a alma universal seria Deus, e cada ser um fragmento da divindade. Simples variante do **panteísmo**.
"
0,0,2,2,7,lde.0.3.02,nota,"Segundo outros, finalmente, a alma é um ser moral, distinto, independente da matéria e que conserva sua individualidade após a morte. Esta acepção é, sem contradita, a mais geral, porque, debaixo de um nome ou de outro, a ideia desse ser que sobrevive ao corpo se encontra, no estado de crença instintiva, não derivada de ensino, entre todos os povos, qualquer que seja o grau de civilização de cada um. Essa doutrina, segundo a qual a alma é **causa** e não **efeito**, é a dos espiritualistas.
"
0,0,2,2,9,lde.0.3.02,nota,"Sem discutir o mérito de tais opiniões e considerando apenas o lado linguístico da questão, diremos que estas três aplicações do termo **alma** correspondem a três ideias distintas, que demandariam, para serem expressas, três vocábulos diferentes. Aquela palavra tem, pois, tríplice acepção e cada um, do seu ponto de vista, pode com razão defini-la como o faz. O mal está em a língua dispor somente de uma palavra para exprimir três ideias. A fim de evitar todo equívoco, seria necessário restringir-se a acepção do termo **alma** a uma daquelas ideias. A escolha é indiferente; o que se faz mister é o entendimento entre todos, reduzindo-se o problema a uma simples questão de convenção. Julgamos mais lógico tomá-lo na sua acepção vulgar e por isso chamamos **ALMA** **ao ser imaterial e individual que em nós reside e sobrevive ao corpo**. Mesmo quando esse ser não existisse, não passasse de produto da imaginação, ainda assim seria preciso um termo para designá-lo.
"
0,0,2,2,11,lde.0.3.02,nota,"Na ausência de um vocábulo especial para tradução de cada uma das duas outras ideias a que corresponde a palavra alma, denominamos:
"
0,0,2,2,13,lde.0.3.02,nota,"**Princípio vital** o princípio da vida material e orgânica, qualquer que seja a fonte donde promane, princípio esse comum a todos os seres vivos, desde as plantas até o homem. Pois que pode haver vida com exclusão da faculdade de pensar, o princípio vital é coisa distinta e independente. A palavra **vitalidade** não daria a mesma ideia. Para uns o princípio vital é uma propriedade da matéria, um efeito que se produz achando-se a matéria em dadas circunstâncias. Segundo outros, e esta é a ideia mais comum, ele reside em um fluido especial, universalmente espalhado e do qual cada ser absorve e assimila uma parcela durante a vida, tal como os corpos inertes absorvem a luz. Esse seria então o **fluido vital** que, na opinião de alguns, em nada difere do fluido elétrico animalizado, ao qual também se dão os nomes de **fluido magnético**, **fluido nervoso** etc.
"
0,0,2,2,15,lde.0.3.02,nota,"Seja como for, um fato há que ninguém ousaria contestar, pois que resulta da observação: é que os seres orgânicos têm em si uma força íntima que determina o fenômeno da vida, enquanto essa força existe; que a vida material é comum a todos os seres orgânicos e independe da inteligência e do pensamento; que a inteligência e o pensamento são faculdades próprias de certas espécies orgânicas; finalmente, que entre as espécies orgânicas dotadas de inteligência e de pensamento há uma dotada também de um senso moral especial, que lhe dá incontestável superioridade sobre as outras: a espécie humana.
"
0,0,2,2,17,lde.0.3.02,nota,"Concebe-se que, com uma acepção múltipla, o termo alma não exclui o materialismo, nem o panteísmo. O próprio espiritualismo pode entender a alma de acordo com uma ou outra das duas primeiras definições, sem prejuízo do ser imaterial distinto, a que então dará um nome qualquer. Assim, aquela palavra não representa uma opinião: é um Proteu,[^1] que cada um ajeita a seu bel-prazer. Daí tantas disputas intermináveis.
"
0,0,2,2,19,lde.0.3.02,nota,"Evitar-se-ia igualmente a confusão, mesmo usando-se do termo **alma** nos três casos, desde que se lhe acrescentasse um qualificativo especificando o ponto de vista em que se está colocado, ou a aplicação que se faz da palavra. Esta teria, então, um caráter genérico, designando, ao mesmo tempo, o princípio da vida material, o da inteligência e o do senso moral, que se distinguiriam mediante um atributo, como os **gases**, por exemplo, que se distinguem aditando-se ao termo genérico as palavras **hidrogênio**, **oxigênio**, ou **azoto**. Poder-se-ia, assim, dizer, e talvez fosse o melhor, a **alma vital** — indicando o princípio da vida material; a **alma intelectual** — o princípio da inteligência, e a **alma espírita** — o da nossa individualidade após a morte. Como se vê, tudo isto não passa de uma questão de palavras, mas questão muito importante quando se trata de nos fazermos entendidos. De conformidade com essa maneira de falar, a alma vital seria comum a todos os seres orgânicos: plantas, animais e homens; a **alma intelectual** pertenceria aos animais e aos homens; e a **alma espírita** somente ao homem.
"
0,0,2,2,21,lde.0.3.02,nota,"Julgamos dever insistir nestas explicações pela razão de que a Doutrina Espírita repousa naturalmente sobre a existência, em nós, de um ser independente da matéria e que sobrevive ao corpo. A palavra **alma**, tendo que aparecer com frequência no curso desta obra, cumpria fixássemos bem o sentido que lhe atribuímos, a fim de evitarmos qualquer engano.
"
0,0,2,2,23,lde.0.3.02,nota,"Passemos agora ao objeto principal desta instrução preliminar.
"
0,0,2,2,25,lde.0.3.02,nota,"---
"
0,0,2,3,1,lde.0.3.03,nota,"Como tudo que constitui novidade, a Doutrina Espírita conta adeptos e contraditores. Vamos tentar responder a algumas das objeções destes últimos, examinando o valor dos motivos em que se apoiam sem alimentarmos, todavia, a pretensão de convencer a todos, pois muitos há que creem ter sido a luz feita exclusivamente para eles. Dirigimo-nos aos de boa-fé, aos que não trazem ideias preconcebidas ou decididamente firmadas contra tudo e todos, aos que sinceramente desejam instruir-se e lhes demonstraremos que a maior parte das objeções opostas à doutrina promanam de incompleta observação dos fatos e de juízo leviano e precipitadamente formado.
"
0,0,2,3,3,lde.0.3.03,nota,"Lembremos, antes de tudo, em poucas palavras, a série progressiva dos fenômenos que deram origem a esta Doutrina.
"
0,0,2,3,5,lde.0.3.03,nota,"O primeiro fato observado foi o da movimentação de objetos diversos. Designaram-no vulgarmente pelo nome de **mesas girantes** ou **dança das mesas**. Este fenômeno, que parece ter sido notado primeiramente na América, ou, melhor, que se repetiu nesse país, porquanto a História prova que ele remonta à mais alta antiguidade, se produziu rodeado de circunstâncias estranhas, tais como ruídos insólitos, pancadas sem nenhuma causa ostensiva. De lá, propagou-se rapidamente pela Europa e pelas outras partes do mundo. A princípio quase que só encontrou incredulidade, porém, ao cabo de pouco tempo, a multiplicidade das experiências não mais permitiu lhe pusessem em dúvida a realidade.
"
0,0,2,3,7,lde.0.3.03,nota,"Se tal fenômeno se houvesse limitado ao movimento de objetos materiais, poderia explicar-se por uma causa puramente física. Estamos longe de conhecer todos os agentes ocultos da Natureza, ou todas as propriedades dos que conhecemos: a eletricidade multiplica diariamente os recursos que proporciona ao homem e parece destinada a iluminar a Ciência com uma nova luz. Nada de impossível haveria, portanto, em que a eletricidade, modificada por certas circunstâncias, ou qualquer outro agente desconhecido, fosse a causa dos movimentos observados. O fato de que a reunião de muitas pessoas aumenta a potencialidade da ação parecia vir em apoio dessa teoria, visto poder-se considerar o conjunto dos assistentes como uma pilha múltipla, com o seu potencial na razão direta do número dos elementos.
"
0,0,2,3,9,lde.0.3.03,nota,"O movimento circular nada apresentava de extraordinário: está na Natureza. Todos os astros se movem em curvas elipsoides; poderíamos, pois, ter ali, em ponto menor, um reflexo do movimento geral do Universo, ou melhor, uma causa, até então desconhecida, produzindo acidentalmente, com pequenos objetos em dadas condições, uma corrente análoga à que impele os mundos.
"
0,0,2,3,11,lde.0.3.03,nota,"O movimento, no entanto, nem sempre era circular; muitas vezes era brusco e desordenado, sendo o objeto violentamente sacudido, derribado, levado numa direção qualquer e, contrariamente a todas as leis da estática, levantado e mantido em suspensão. Ainda aqui nada havia que se não pudesse explicar pela ação de um agente físico invisível. Não vemos a eletricidade deitar por terra edifícios, desarraigar árvores, atirar longe os mais pesados corpos, atraí-los ou repeli-los?
"
0,0,2,3,13,lde.0.3.03,nota,"Os ruídos insólitos, as pancadas, ainda que não fossem um dos efeitos ordinários da dilatação da madeira, ou de qualquer outra causa acidental, podiam muito bem ser produzidos pela acumulação de um fluido oculto: a eletricidade não produz formidáveis ruídos?
"
0,0,2,3,15,lde.0.3.03,nota,"Até aí, como se vê, tudo pode caber no domínio dos fatos puramente físicos e fisiológicos. Sem sair desse âmbito de ideias, já ali havia, no entanto, matéria para estudos sérios e dignos de prender a atenção dos sábios. Por que assim não aconteceu? É penoso dizê-lo, mas o fato deriva de causas que provam, entre mil outros semelhantes, a leviandade do espírito humano. A vulgaridade do objeto principal que serviu de base às primeiras experiências não foi alheia à indiferença dos sábios. Que influência não tem tido muitas vezes uma palavra sobre as coisas mais graves!
"
0,0,2,3,17,lde.0.3.03,nota,"Sem atenderem a que o movimento podia ser impresso a um objeto qualquer, a ideia das mesas prevaleceu, sem dúvida, por ser o objeto mais cômodo e porque, à roda de uma mesa, muito mais naturalmente do que em torno de qualquer outro móvel, se sentam diversas pessoas. Ora, os homens superiores são com frequência tão pueris que não há como ter por impossível que certos espíritos de escol hajam considerado deprimente ocuparem-se com o que se convencionara chamar a **dança das mesas**. É mesmo provável que se o fenômeno observado por Galvani o fora por homens vulgares e ficasse caracterizado por um nome burlesco, ainda estaria relegado a fazer companhia à varinha mágica. Qual, com efeito, o sábio que não houvera julgado uma indignidade ocupar-se com a **dança das rãs**?
"
0,0,2,3,19,lde.0.3.03,nota,"Alguns, entretanto, muito modestos para convirem em que bem poderia dar-se não lhes ter ainda a Natureza dito a última palavra, quiseram ver, para tranquilidade de suas consciências. Mas aconteceu que o fenômeno nem sempre lhes correspondeu à expectativa e, do fato de não se haver produzido constantemente conforme a vontade deles e segundo a maneira de se comportarem na experimentação, concluíram pela negativa. Malgrado, porém, o que decretaram, as mesas — pois que há mesas — continuam a girar e podemos dizer com Galileu: **todavia, elas se movem!** Acrescentaremos que os fatos se multiplicaram de tal modo que hoje são aceitos sem contestação, não mais se cogitando senão de lhes achar uma explicação racional.
"
0,0,2,3,21,lde.0.3.03,nota,"Contra a realidade do fenômeno, poder-se-ia induzir alguma coisa da circunstância de ele não se produzir de modo sempre idêntico, conforme a vontade e as exigências do observador? Os fenômenos de eletricidade e de química não estão subordinados a certas condições? Será lícito negá-los, porque não se produzem fora dessas condições? Que há, pois, de surpreendente em que o fenômeno do movimento dos objetos pelo fluido humano também se ache sujeito a determinadas condições e deixe de se produzir quando o observador, colocando-se no seu ponto de vista, pretende fazê-lo seguir a marcha que caprichosamente lhe imponha, ou queira sujeitá-lo às leis dos fenômenos conhecidos, sem considerar que para fatos novos pode e deve haver novas leis? Ora, para se conhecerem essas leis, preciso é que se estudem as circunstâncias em que os fatos se produzem e esse estudo não pode deixar de ser fruto de observação perseverante, atenta e às vezes muito longa.
"
0,0,2,3,23,lde.0.3.03,nota,"Objetam, porém, algumas pessoas: há frequentemente fraudes manifestas. Perguntar-lhes-emos, em primeiro lugar, se estão bem certas de que haja fraudes e se não tomaram por fraude efeitos que não podiam explicar, mais ou menos como o camponês que tomava por destro escamoteador um sábio professor de Física a fazer experiências. Admitindo-se mesmo que tal coisa tenha podido verificar-se algumas vezes, constituiria isso razão para negar-se o fato? Dever-se-ia negar a Física, porque há prestidigitadores que se exornam com o título de físicos? Cumpre, ademais, se leve em conta o caráter das pessoas e o interesse que possam ter em iludir. Seria tudo, então, mero gracejo? Admite-se que uma pessoa se divirta por algum tempo, mas um gracejo prolongado indefinidamente se tornaria tão fastidioso para o mistificador, como para o mistificado. Acresce que, numa mistificação que se propaga de um extremo a outro do mundo e por entre as mais austeras, veneráveis e esclarecidas personalidades, alguma coisa há, com certeza, tão extraordinária, pelo menos, quanto o próprio fenômeno.
"
0,0,2,3,25,lde.0.3.03,nota,"---
"
0,0,2,4,1,lde.0.3.04,nota,"Se os fenômenos, com que nos estamos ocupando, houvessem ficado restritos ao movimento dos objetos, teriam permanecido, como dissemos, no domínio das ciências físicas. Assim, entretanto, não sucedeu: estava-lhes reservado colocar-nos na pista de fatos de ordem singular. Acreditaram haver descoberto, não sabemos pela iniciativa de quem, que a impulsão dada aos objetos não era apenas o resultado de uma força mecânica cega; que havia nesse movimento a intervenção de uma causa inteligente. Uma vez aberto, esse caminho conduziu a um campo totalmente novo de observações. De sobre muitos mistérios se erguia o véu. Haverá, com efeito, no caso, uma potência inteligente? Tal a questão. Se essa potência existe, qual é ela, qual a sua natureza, a sua origem? Encontra-se acima da Humanidade? Eis outras questões que decorrem da anterior
"
0,0,2,4,3,lde.0.3.04,nota,"As primeiras manifestações inteligentes se produziram por meio de mesas que se levantavam e, com um dos pés, davam certo número de pancadas, respondendo desse modo — **sim** ou **não** —, conforme fora convencionado, a uma pergunta feita. Até aí nada de convincente havia para os céticos, porquanto bem podiam crer que tudo fosse obra do acaso. Obtiveram-se depois respostas mais desenvolvidas com o auxílio das letras do alfabeto: dando o móvel um número de pancadas correspondente ao número de ordem de cada letra, chegava-se a formar palavras e frases que respondiam às questões propostas. A precisão das respostas e a correlação que denotavam com as perguntas causaram espanto. O ser misterioso que assim respondia, interrogado sobre a sua natureza, declarou que era **Espírito** ou **Gênio**, declinou um nome e prestou diversas informações a seu respeito. Há aqui uma circunstância muito importante, que se deve assinalar. É que ninguém imaginou os **Espíritos** como meio de explicar o fenômeno; foi o próprio fenômeno que revelou a palavra. Muitas vezes, tratando-se das ciências exatas, formulam-se hipóteses para dar-se uma base ao raciocínio. Não é aqui o caso.
"
0,0,2,4,5,lde.0.3.04,nota,"Tal meio de correspondência era, porém, demorado e incômodo. O Espírito (e isto constitui nova circunstância digna de nota) indicou outro. Foi um desses seres invisíveis quem aconselhou a adaptação de um lápis a uma cesta ou a outro objeto. Colocada em cima de uma folha de papel, a cesta é posta em movimento pela mesma potência oculta que move as mesas; mas, em vez de um simples movimento regular, o lápis traça por si mesmo caracteres formando palavras, frases, dissertações de muitas páginas sobre as mais altas questões de filosofia, de moral, de metafísica, de psicologia etc., e com tanta rapidez quanta se se escrevesse com a mão.
"
0,0,2,4,7,lde.0.3.04,nota,"O conselho foi dado simultaneamente na América, na França e em diversos outros países. Eis em que termos o deram em Paris, a 10 de junho de 1853, a um dos mais fervorosos adeptos da Doutrina e que, havia muitos anos, desde 1849, se ocupava com a evocação dos Espíritos:
"
0,0,2,4,9,lde.0.3.04,nota,"> Vai buscar, no aposento ao lado, a cestinha; amarra-lhe um lápis; coloca-a sobre o papel; põe-lhe os teus dedos sobre a borda.
"
0,0,2,4,11,lde.0.3.04,nota,"Alguns instantes após, a cesta entrou a mover-se e o lápis escreveu, muito legível, esta frase:
"
0,0,2,4,13,lde.0.3.04,nota,"> Proíbo expressamente que transmitas a quem quer que seja o que acabo de dizer. Da primeira vez que escrever, escreverei melhor.
"
0,0,2,4,15,lde.0.3.04,nota,"O objeto a que se adapta o lápis, não passando de mero instrumento, completamente indiferentes são a natureza e a forma que tenha. Daí o haver-se procurado dar-lhe a disposição mais cômoda. Assim é que muita gente se serve de uma prancheta pequena.
"
0,0,2,4,17,lde.0.3.04,nota,"A cesta ou a prancheta só podem ser postas em movimento debaixo da influência de certas pessoas, dotadas, para isso, de um poder especial, as quais se designam pelo nome de **médiuns**, isto é — meios ou intermediários entre os Espíritos e os homens. As condições que dão esse poder resultam de causas ao mesmo tempo físicas e morais, ainda imperfeitamente conhecidas, porquanto há médiuns de todas as idades, de ambos os sexos e em todos os graus de desenvolvimento intelectual. É, todavia, uma faculdade que se desenvolve pelo exercício.
"
0,0,2,4,19,lde.0.3.04,nota,"---
"
0,0,2,5,1,lde.0.3.05,nota,"Reconheceu-se mais tarde que a cesta e a prancheta não eram, realmente, mais do que um apêndice da mão; e o médium, tomando diretamente do lápis, se pôs a escrever por um impulso involuntário e quase febril. Dessa maneira, as comunicações se tornaram mais rápidas, mais fáceis e mais completas. Hoje é esse o meio geralmente empregado e com tanto mais razão quanto o número das pessoas dotadas dessa aptidão é muito considerável e cresce todos os dias. Finalmente, a experiência deu a conhecer muitas outras variedades da faculdade mediadora, vindo-se a saber que as comunicações podiam igualmente ser transmitidas pela palavra, pela audição, pela visão, pelo tato etc., e até pela escrita direta dos Espíritos, isto é, sem o concurso da mão do médium, nem do lápis.
"
0,0,2,5,3,lde.0.3.05,nota,"Obtido o fato, restava comprovar um ponto essencial — o papel do médium nas respostas e a parte que, mecânica e moralmente, pode ter nelas. Duas circunstâncias capitais, que não escapariam a um observador atento, tornam possível resolver-se a questão. A primeira consiste no modo por que a cesta se move sob a influência do médium, apenas lhe impondo este os dedos sobre os bordos. O exame do fato demonstra a impossibilidade de o médium imprimir uma direção qualquer ao movimento daquele objeto. Essa impossibilidade se patenteia, sobretudo, quando duas ou três pessoas colocam juntamente as mãos sobre a cesta. Fora preciso entre elas uma concordância verdadeiramente fenomenal de movimentos. Fora preciso, demais, a concordância dos pensamentos, para que pudessem estar de acordo quanto à resposta a dar à questão formulada. Outro fato, não menos singular, ainda vem aumentar a dificuldade. É a mudança radical da caligrafia, conforme o Espírito que se manifesta, reproduzindo-se a de um determinado Espírito todas as vezes que ele volta a escrever. Fora necessário, pois, que o médium se houvesse exercitado em dar à sua própria caligrafia vinte formas diferentes e, principalmente, que pudesse lembrar-se da que corresponde a tal ou tal Espírito.
"
0,0,2,5,5,lde.0.3.05,nota,"A segunda circunstância resulta da natureza mesma das respostas que, as mais das vezes, especialmente quando se ventilam questões abstratas e científicas, estão notoriamente fora do campo dos conhecimentos e, amiúde, do alcance intelectual do médium, que, além disso, como de ordinário sucede, não tem consciência do que escreve debaixo da sua influência; que, frequentemente, não entende ou não compreende a questão proposta, pois que esta o pode ser num idioma que ele desconheça, ou mesmo mentalmente, podendo a resposta ser dada nesse idioma. Enfim, acontece muito escrever a cesta espontaneamente, sem que se haja feito pergunta alguma, sobre um assunto qualquer, inteiramente inesperado.
"
0,0,2,5,7,lde.0.3.05,nota,"Em certos casos, as respostas revelam tal cunho de sabedoria, de profundeza e de oportunidade; exprimem pensamentos tão elevados, tão sublimes, que não podem emanar senão de uma Inteligência superior, impregnada da mais pura moralidade. Doutras vezes, são tão levianas, tão frívolas, tão triviais, que a razão recusa admitir derivem da mesma fonte. Tal diversidade de linguagem não se pode explicar senão pela diversidade das Inteligências que se manifestam. E essas Inteligências estão na Humanidade ou fora da Humanidade? Este o ponto a esclarecer-se e cuja explicação se encontrará completa nesta obra, como a deram os próprios Espíritos.
"
0,0,2,5,9,lde.0.3.05,nota,"Eis, pois, efeitos patentes, que se produzem fora do círculo habitual das nossas observações; que não ocorrem misteriosamente, mas, ao contrário, à luz meridiana, que toda gente pode ver e comprovar; que não constituem privilégio de um único indivíduo e que milhares de pessoas repetem todos os dias. Esses efeitos têm necessariamente uma causa e, do momento que detonam a ação de uma inteligência e de uma vontade, saem do domínio puramente físico.
"
0,0,2,5,11,lde.0.3.05,nota,"Muitas teorias foram engendradas a este respeito. Examiná-las-emos dentro em pouco e veremos se são capazes de oferecer a explicação de todos os fatos que se observam. Admitamos, enquanto não chegamos até lá, a existência de seres distintos dos humanos, pois que esta é a explicação ministrada pelas Inteligências que se manifestam, e vejamos o que eles nos dizem.
"
0,0,2,5,13,lde.0.3.05,nota,"---
"
0,0,2,6,1,lde.0.3.06,nota,"Conforme notamos acima, os próprios seres que se comunicam se designam a si mesmos pelo nome de Espíritos ou gênios, declarando, alguns, pelo menos, terem pertencido a homens que viveram na Terra. Eles compõem o mundo espiritual, como nós constituímos o mundo corporal durante a vida terrena.
"
0,0,2,6,3,lde.0.3.06,nota,"Vamos resumir, em poucas palavras, os pontos principais da Doutrina que nos transmitiram, a fim de mais facilmente respondermos a certas objeções:
"
0,0,2,6,5,lde.0.3.06,nota,"1. Deus é eterno, imutável, imaterial, único, onipotente, soberanamente justo e bom;
"
0,0,2,6,7,lde.0.3.06,nota,"2. criou o Universo, que abrange todos os seres animados e inanimados, materiais e imateriais;
"
0,0,2,6,9,lde.0.3.06,nota,"3. os seres materiais constituem o mundo visível ou corpóreo, e os seres imateriais, o mundo invisível ou espírita, isto é, dos Espíritos;
"
0,0,2,6,11,lde.0.3.06,nota,"4. o mundo espírita é o mundo normal, primitivo, eterno, preexistente e sobrevivente a tudo;
"
0,0,2,6,13,lde.0.3.06,nota,"5. o mundo corporal é secundário; poderia deixar de existir, ou não ter jamais existido, sem que por isso se alterasse a essência do mundo espírita;
"
